Restaurant;Wochentag;Gericht;Vegetarisch/Vegan
Mensa;Täglich;Pasta;vegetarisch
Mensa;Täglich;Gnocchi;vegetarisch
Mensa;Täglich;Pizza Margherita;vegetarisch
Mensa;Täglich;Spezialpizza;
Mensa;Montag;tba ;vegan
Mensa;Montag;tba ;
Mensa;Dienstag;tba ;vegan
Mensa;Dienstag;tba ;
Mensa;Mittwoch;tba ;vegan
Mensa;Mittwoch;Schnitzel;
Mensa;Donnerstag;tba ;vegan
Mensa;Donnerstag;tba ;
Mensa;Freitag;tba ;vegan
Mensa;Freitag;Gebackener Seelachs, Petersilerdäpfel, Sauce Tartare;
Baschly;Montag;tba ;
Baschly;Montag;tba ;vegan
Baschly;Dienstag;tba ;
Baschly;Dienstag;tba ;vegan
Baschly;Mittwoch;tba ;
Baschly;Mittwoch;tba ;vegan
Baschly;Donnerstag;tba ;
Baschly;Donnerstag;tba ;vegan
Baschly;Freitag;tba ;
Baschly;Freitag;tba ;vegan
Deli;Täglich;tba ;
Deli;Täglich;tba ;vegan
Deli;Täglich;tba ;vegetarisch
Deli;Täglich;tba ;
Finn;Täglich;lachs bento;
Finn;Täglich;california maki bento;
Finn;Täglich;hühner gyoza, reis, salat;
Finn;Montag;paprikahendl;
Finn;Montag;gnocchi con funghi;vegetarisch
Finn;Dienstag;moussaka;
Finn;Dienstag;linsencurry;vegan
Finn;Mittwoch;cheeseburger;
Finn;Mittwoch;veggie burger;vegetarisch
Finn;Donnerstag;grillteller;
Finn;Donnerstag;cremespinat, rösti, spiegelei;vegetarisch
Finn;Freitag;gegrillte calmari;
Finn;Freitag;polenta, ofengemüse;vegan
Library Café;Montag;weichet acos mit tofu;vegetarisch
Library Café;Montag;weiche tacos mit huhn;
Library Café;Dienstag;gegrillter zucchini-cobb-salat;vegetarisch
Library Café;Dienstag;fried chicken cobb salat;
Library Café;Mittwoch;thai-kokos-curry;vegan
Library Café;Mittwoch;thai-kokos-curry mit hun;
Library Café;Donnerstag;falafel bowl;vegan
Library Café;Donnerstag;griechische fleischbällchen-bowl;
Library Café;Freitag;spontan, worauf der koch lust hat;vegetarisch
Library Café;Freitag;spontan, worauf der koch lust hat;
Das Campus Hotstuff;Täglich;tba ;
Das Campus Hotstuff;Täglich;tba ;vegetarisch
Das Campus Hotstuff;Täglich;tba ;vegan
Das Campus;Montag;vollkorn-penne arrabiata;vegetarisch
Das Campus;Montag;stefaniebraten;
Das Campus;Dienstag;kürbis-frsichkäsel-strudl;vegetarisch
Das Campus;Dienstag;cordon bleu;
Das Campus;Mittwoch;champignonsauce, knödel;vegan
Das Campus;Mittwoch;kraut-rouladen;
Das Campus;Donnerstag;quiche lorraine;vegetarisch
Das Campus;Donnerstag;spaghetti a la ponzu;
Das Campus;Freitag;kein Mittagsmenü;
Zur grünen Hütte;Montag;Schweinsmedaillongs;
Zur grünen Hütte;Montag;Gemüselaibchen;vegetarisch
Zur grünen Hütte;Dienstag;Kalbsrahmgeschnetzeltes;
Zur grünen Hütte;Dienstag;Erdäpfelnudeln mit kürbisgemüse;vegetarisch
Zur grünen Hütte;Mittwoch;Wiener Rindsgulasch;
Zur grünen Hütte;Mittwoch;Erdäpfel-Spinatstrudel;vegetarisch
Zur grünen Hütte;Donnerstag;Fleischknödel;
Zur grünen Hütte;Donnerstag;Marinierter Tofu, Reis;vegetarisch
Zur grünen Hütte;Freitag;Frischer Kabeljau gebacken mit Erdäpfelsalat;
Karma Food;Montag;couscous kürbis bowl;vegan
Karma Food;Montag;süsskartoffel kichererbsen curry;vegan
Karma Food;Montag;rote linsen dal;vegan
Karma Food;Dienstag;orientalische quinoa bowl mit harissadip;vegan
Karma Food;Dienstag;pak choi köfte;vegan
Karma Food;Dienstag;paprika zucchini mung dal;vegan
Karma Food;Mittwoch;edamame bowl mit rotem reis, teriyaki veggies;vegan
Karma Food;Mittwoch;tamarind kürbis curry;vegan
Karma Food;Mittwoch;sweet chili sind carne;vegan
Karma Food;Donnerstag;spinat ricotta lasagne;vegetarisch
Karma Food;Donnerstag;süßkartoffel-lauch curry;vegan
Karma Food;Donnerstag;mango sesam stew;vegan
Karma Food;Freitag;brokkoli cahsew biryani;vegan
Karma Food;Freitag;aloo gobi curry;vegan
Karma Food;Freitag;peterislie linsen stew;vegan
